"STATION","NAME","DATE","PRCP"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-01","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-05","1.77"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-06","4.96"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-07","1.85"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-08","0.03"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-09","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-11","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-12","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-30",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-01-31",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-09","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-22","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-02-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-11",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-30",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-03-31",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-11",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-15","1.10"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-16","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-17","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-04-30",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-11",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-23","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-30",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-05-31","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-01","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-08","1.85"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-09","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-10","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-11","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-12","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-13","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-14","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-22","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-23","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-27","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-28","1.34"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-29","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-06-30",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-05","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-06","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-09","1.54"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-10","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-11","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-12","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-13","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-14","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-15","0.55"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-16","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-17","0.55"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-18","0.94"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-19","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-20","0.43"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-21","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-22","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-23","0.31"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-24","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-25","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-27","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-28","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-30","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-07-31","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-01","0.43"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-02","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-03","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-04","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-05","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-06","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-07","0.28"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-10","1.65"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-11","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-12","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-13","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-16","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-17","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-18","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-20","0.43"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-21","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-22","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-25","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-26","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-27","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-28","0.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-29","1.30"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-30","0.39"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-31","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-01","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-04","0.20"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-05","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-06","0.94"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-07","0.39"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-10","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-11","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-21","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-22","1.85"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-23","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-24","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-26","0.47"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-27","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-30","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-01","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-02","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-03","0.28"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-04","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-05","0.39"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-06","1.69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-07","0.63"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-10","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-11","0.91"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-12","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-13","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-14","0.12"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-15","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-21","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-29","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-30","1.10"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-31","0.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-01","1.18"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-02","1.61"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-03","1.69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-04","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-05","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-06","1.34"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-07","4.49"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-08","2.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-09","1.46"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-10","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-11","5.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-12","1.85"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-13","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-15","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-16","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-17","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-18","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-19","2.13"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-20","0.83"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-21","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-22","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-23","0.35"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-24","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-25","0.43"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-26","2.83"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-27","3.74"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-28","0.98"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-29","2.76"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-30","0.79"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-01","0.12"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-02","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-11","0.24"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-12","0.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-13","0.83"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-14","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-15","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-30","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-31","5.87"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-01","0.75"
